"","Gene","Treatment","Time","Dose","Biol_Rep","Tech_Rep_1","Tech_Rep_2","Avg_Cq"
"1","Cxcl2","L","6","low","1","20.41973","20.43391","20.42682"
"2","Cxcl2","S","6","low","1","22.04141","21.68804","21.86473"
"3","Cxcl2","LS","6","low","1","21.19917","21.20261","21.20089"
"4","Cxcl2","L","2","low","1","21.39412","21.26540","21.32976"
"5","Cxcl2","S","2","low","1","22.21241","22.14337","22.17789"
"6","Cxcl2","LS","2","low","1","21.24897","20.97530","21.11214"
"7","Cxcl2","L","6","med","1","21.20282","21.29239","21.24761"
"8","Cxcl2","S","6","med","1","22.30779","22.22336","22.26558"
"9","Cxcl2","LS","6","med","1","21.06476","20.65125","20.85800"
"10","Cxcl2","L","2","med","1","18.85176","19.06655","18.95915"
"11","Cxcl2","S","2","med","1","22.46828","23.02239","22.74534"
"12","Cxcl2","LS","2","med","1","19.19738","18.73343","18.96540"
"13","Cxcl2","L","6","high","1","19.98002","19.86532","19.92267"
"14","Cxcl2","S","6","high","1","23.06945","22.80260","22.93603"
"15","Cxcl2","LS","6","high","1","20.53994","20.53038","20.53516"
"16","Cxcl2","L","2","high","1","17.84673","17.73970","17.79322"
"17","Cxcl2","S","2","high","1","22.78827","22.41103","22.59965"
"18","Cxcl2","LS","2","high","1","17.19803","17.12359","17.16081"
"19","Cxcl2","L","6","low","2","22.15838","21.99914","22.07876"
"20","Cxcl2","S","6","low","2","22.45356","22.92097","22.68726"
"21","Cxcl2","LS","6","low","2","21.59873","21.62577","21.61225"
"22","Cxcl2","L","2","low","2","21.11456","21.46827","21.29142"
"23","Cxcl2","S","2","low","2","22.91242","22.92671","22.91956"
"24","Cxcl2","LS","2","low","2","21.09795","21.42987","21.26391"
"25","Cxcl2","L","6","med","2","20.38479","20.22063","20.30271"
"26","Cxcl2","S","6","med","2","22.04717","21.98561","22.01639"
"27","Cxcl2","LS","6","med","2","20.92699","20.63867","20.78283"
"28","Cxcl2","L","2","med","2","19.73811","19.27280","19.50545"
"29","Cxcl2","S","2","med","2","23.05524","22.80961","22.93242"
"30","Cxcl2","LS","2","med","2","19.86179","19.09876","19.48028"
"31","Cxcl2","L","6","high","2","19.34583","19.58575","19.46579"
"32","Cxcl2","S","6","high","2","23.26110","23.35205","23.30658"
"33","Cxcl2","LS","6","high","2","20.83948","20.34407","20.59178"
"34","Cxcl2","L","2","high","2","17.61595","18.01221","17.81408"
"35","Cxcl2","S","2","high","2","22.34866","22.34847","22.34857"
"36","Cxcl2","LS","2","high","2","16.74473","16.98262","16.86368"
"37","Gapdh","L","6","low","1","19.33328","19.11495","19.22411"
"38","Gapdh","S","6","low","1","19.31234","19.21191","19.26212"
"39","Gapdh","LS","6","low","1","19.14122","19.23011","19.18566"
"40","Gapdh","L","2","low","1","19.71448","19.64787","19.68118"
"41","Gapdh","S","2","low","1","19.66523","19.78648","19.72586"
"42","Gapdh","LS","2","low","1","20.11144","19.75157","19.93151"
"43","Gapdh","L","6","med","1","19.10925","19.40386","19.25655"
"44","Gapdh","S","6","med","1","19.29924","19.42356","19.36140"
"45","Gapdh","LS","6","med","1","18.89943","19.13306","19.01624"
"46","Gapdh","L","2","med","1","19.41805","19.07247","19.24526"
"47","Gapdh","S","2","med","1","19.16268","19.14272","19.15270"
"48","Gapdh","LS","2","med","1","18.96985","18.84531","18.90758"
"49","Gapdh","L","6","high","1","19.33608","19.59770","19.46689"
"50","Gapdh","S","6","high","1","19.32931","19.03321","19.18126"
"51","Gapdh","LS","6","high","1","19.38536","19.41477","19.40007"
"52","Gapdh","L","2","high","1","18.92800","19.25354","19.09077"
"53","Gapdh","S","2","high","1","19.04809","19.11723","19.08266"
"54","Gapdh","LS","2","high","1","19.07774","18.50913","18.79344"
"55","Gapdh","L","6","low","2","19.68594","19.20537","19.44566"
"56","Gapdh","S","6","low","2","19.42939","19.04445","19.23692"
"57","Gapdh","LS","6","low","2","19.32686","19.14406","19.23546"
"58","Gapdh","L","2","low","2","19.41671","19.56232","19.48952"
"59","Gapdh","S","2","low","2","19.24014","19.17718","19.20866"
"60","Gapdh","LS","2","low","2","18.86493","18.33390","18.59941"
"61","Gapdh","L","6","med","2","19.10287","18.39306","18.74797"
"62","Gapdh","S","6","med","2","19.49020","18.96885","19.22952"
"63","Gapdh","LS","6","med","2","19.01894","18.77629","18.89762"
"64","Gapdh","L","2","med","2","19.47555","19.47377","19.47466"
"65","Gapdh","S","2","med","2","19.40397","19.43617","19.42007"
"66","Gapdh","LS","2","med","2","19.01853","18.11757","18.56805"
"67","Gapdh","L","6","high","2","19.08890","19.59929","19.34410"
"68","Gapdh","S","6","high","2","20.04166","19.92542","19.98354"
"69","Gapdh","LS","6","high","2","19.18070","19.21911","19.19991"
"70","Gapdh","L","2","high","2","19.13557","19.06894","19.10226"
"71","Gapdh","S","2","high","2","18.93535","18.83048","18.88292"
"72","Gapdh","LS","2","high","2","18.73912","18.71414","18.72663"
"73","Cxcl2","Control","0","none","1","22.00496","22.14272","22.07384"
"74","Cxcl2","Control","0","none","2","21.67151","21.85806","21.76478"
"75","Cxcl2","Control","0","none","3","21.47920","22.30793","21.89356"
"76","Gapdh","Control","0","none","1","18.91402","19.18410","19.04906"
"77","Gapdh","Control","0","none","2","18.94978","18.55190","18.75084"
"78","Gapdh","Control","0","none","3","18.55854","18.26937","18.41396"
"79","Il6","L","6","low","1","25.64952","25.57183","25.61068"
"80","Il6","S","6","low","1","28.58538","28.53597","28.56067"
"81","Il6","LS","6","low","1","28.04975","27.85198","27.95087"
"82","Il6","L","2","low","1","27.86805","27.74642","27.80724"
"83","Il6","S","2","low","1","29.25137","29.54661","29.39899"
"84","Il6","LS","2","low","1","27.93936","28.03681","27.98808"
"85","Il6","L","6","med","1","22.62653","22.39168","22.50910"
"86","Il6","S","6","med","1","26.13284","26.09690","26.11487"
"87","Il6","LS","6","med","1","21.33048","21.42909","21.37978"
"88","Il6","L","2","med","1","22.05521","22.29085","22.17303"
"89","Il6","S","2","med","1","26.86014","27.09112","26.97563"
"90","Il6","LS","2","med","1","21.66214","21.63452","21.64833"
"91","Il6","L","6","high","1","19.11181","19.04153","19.07667"
"92","Il6","S","6","high","1","22.82877","22.80667","22.81772"
"93","Il6","LS","6","high","1","18.74665","18.64765","18.69715"
"94","Il6","L","2","high","1","19.42398","19.55885","19.49142"
"95","Il6","S","2","high","1","23.41755","23.52843","23.47299"
"96","Il6","LS","2","high","1","19.31721","19.32429","19.32075"
"97","Il6","L","6","low","2","27.37419","27.40599","27.39009"
"98","Il6","S","6","low","2","28.05898","28.11418","28.08658"
"99","Il6","LS","6","low","2","27.38555","27.32083","27.35319"
"100","Il6","L","2","low","2","25.55298","25.53486","25.54392"
"101","Il6","S","2","low","2","27.26112","27.39259","27.32685"
"102","Il6","LS","2","low","2","26.56322","26.60824","26.58573"
"103","Il6","L","6","med","2","22.12209","22.13780","22.12994"
"104","Il6","S","6","med","2","25.71518","25.61957","25.66738"
"105","Il6","LS","6","med","2","20.19574","20.40607","20.30091"
"106","Il6","L","2","med","2","21.05979","21.19915","21.12947"
"107","Il6","S","2","med","2","26.77024","26.93631","26.85327"
"108","Il6","LS","2","med","2","21.73059","21.96567","21.84813"
"109","Il6","L","6","high","2","19.02666","18.83414","18.93040"
"110","Il6","S","6","high","2","23.11339","22.92259","23.01799"
"111","Il6","LS","6","high","2","18.26090","18.33805","18.29948"
"112","Il6","L","2","high","2","19.47901","19.40570","19.44236"
"113","Il6","S","2","high","2","23.31915","23.34118","23.33016"
"114","Il6","LS","2","high","2","19.20191","19.25141","19.22666"
"115","Il6","Control","0","none","1","28.85449","28.74697","28.80073"
"116","Il6","Control","0","none","2","28.59224","28.71428","28.65326"
"117","Il6","Control","0","none","3","28.96921","28.86587","28.91754"
"118","Il27","L","6","low","1","26.44979","26.69369","26.57174"
"119","Il27","S","6","low","1","28.50864","28.35243","28.43054"
"120","Il27","LS","6","low","1","28.39616","27.90677","28.15146"
"121","Il27","L","2","low","1","30.41578","29.56209","29.98893"
"122","Il27","S","2","low","1","30.71430","30.78422","30.74926"
"123","Il27","LS","2","low","1","30.44422","30.21734","30.33078"
"124","Il27","L","6","low","2","27.36994","27.58946","27.47970"
"125","Il27","S","6","low","2","28.02609","28.28273","28.15441"
"126","Il27","LS","6","low","2","27.76577","27.87457","27.82017"
"127","Il27","L","2","low","2","28.63559","27.92054","28.27806"
"128","Il27","S","2","low","2","28.87038","29.40359","29.13699"
"129","Il27","LS","2","low","2","28.46199","28.63141","28.54670"
"130","Il27","L","6","med","1","25.14269","25.00024","25.07146"
"131","Il27","S","6","med","1","26.03991","25.67177","25.85584"
"132","Il27","LS","6","med","1","24.04723","24.22007","24.13365"
"133","Il27","L","2","med","1","26.02335","26.01520","26.01928"
"134","Il27","S","2","med","1","28.57738","28.82062","28.69900"
"135","Il27","LS","2","med","1","25.21550","25.45577","25.33563"
"136","Il27","L","6","med","2","24.90534","24.60506","24.75520"
"137","Il27","S","6","med","2","25.20022","25.36744","25.28383"
"138","Il27","LS","6","med","2","23.52794","23.64441","23.58617"
"139","Il27","L","2","med","2","24.68186","24.83973","24.76079"
"140","Il27","S","2","med","2","28.74179","28.91475","28.82827"
"141","Il27","LS","2","med","2","25.50471","25.44899","25.47685"
"142","Il27","L","6","high","1","23.32659","23.22125","23.27392"
"143","Il27","S","6","high","1","22.75694","22.66354","22.71024"
"144","Il27","LS","6","high","1","22.52169","22.50645","22.51407"
"145","Il27","L","2","high","1","23.00263","23.00082","23.00172"
"146","Il27","S","2","high","1","25.84039","26.06646","25.95343"
"147","Il27","LS","2","high","1","22.53868","22.63775","22.58822"
"148","Il27","L","6","high","2","23.52485","23.30610","23.41548"
"149","Il27","S","6","high","2","22.86279","22.87052","22.86665"
"150","Il27","LS","6","high","2","22.10637","22.12871","22.11754"
"151","Il27","L","2","high","2","22.70224","23.00715","22.85469"
"152","Il27","S","2","high","2","26.07248","26.12607","26.09928"
"153","Il27","LS","2","high","2","22.26244","22.43370","22.34807"
"154","Cxcl1","L","6","low","1","26.87410","26.83201","26.85306"
"155","Cxcl1","S","6","low","1","28.06122","28.40027","28.23074"
"156","Cxcl1","LS","6","low","1","27.80518","27.45308","27.62913"
"157","Cxcl1","L","2","low","1","27.78013","27.15742","27.46877"
"158","Cxcl1","S","2","low","1","28.35506","28.37693","28.36600"
"159","Cxcl1","LS","2","low","1","27.30164","27.09147","27.19656"
"160","Cxcl1","L","6","low","2","27.66729","27.42357","27.54543"
"161","Cxcl1","S","6","low","2","28.02480","27.85993","27.94237"
"162","Cxcl1","LS","6","low","2","27.25918","27.25657","27.25788"
"163","Cxcl1","L","2","low","2","25.69288","25.51271","25.60280"
"164","Cxcl1","S","2","low","2","27.89332","27.70593","27.79962"
"165","Cxcl1","LS","2","low","2","26.37437","26.37411","26.37424"
"166","Cxcl1","L","6","med","1","26.36363",NA,"26.36363"
"167","Cxcl1","S","6","med","1","28.63819",NA,"28.63819"
"168","Cxcl1","LS","6","med","1","26.47399",NA,"26.47399"
"169","Cxcl1","L","2","med","1","24.00489",NA,"24.00489"
"170","Cxcl1","S","2","med","1","28.14479",NA,"28.14479"
"171","Cxcl1","LS","2","med","1","23.25618",NA,"23.25618"
"172","Cxcl1","L","6","med","2","25.70782","26.18445","25.94614"
"173","Cxcl1","S","6","med","2","28.45227","29.14665","28.79946"
"174","Cxcl1","LS","6","med","2","25.43429","26.34016","25.88723"
"175","Cxcl1","L","2","med","2","23.12010","23.21744","23.16877"
"176","Cxcl1","S","2","med","2","28.24191","28.46849","28.35520"
"177","Cxcl1","LS","2","med","2","24.06732","24.42471","24.24601"
"178","Cxcl1","L","6","high","1","24.81805","24.69724","24.75764"
"179","Cxcl1","S","6","high","1","28.39508","28.91521","28.65514"
"180","Cxcl1","LS","6","high","1","25.13680","25.20471","25.17075"
"181","Cxcl1","L","2","high","1","22.02423","21.37023","21.69723"
"182","Cxcl1","S","2","high","1","28.06164","28.00846","28.03505"
"183","Cxcl1","LS","2","high","1","21.59785","21.60076","21.59930"
"184","Cxcl1","L","6","high","2","24.11906","24.30710","24.21308"
"185","Cxcl1","S","6","high","2","29.02399","29.29052","29.15725"
"186","Cxcl1","LS","6","high","2","25.22058","25.73872","25.47965"
"187","Cxcl1","L","2","high","2","21.54199","22.29311","21.91755"
"188","Cxcl1","S","2","high","2","28.19623","28.36595","28.28109"
"189","Cxcl1","LS","2","high","2","20.93107","21.33168","21.13138"
"190","Il27","Control","0","none","1","29.32136",NA,"29.32136"
"191","Il27","Control","0","none","2","29.12859",NA,"29.12859"
"192","Il27","Control","0","none","3","29.57155",NA,"29.57155"
"193","Cxcl1","Control","0","none","1","27.33788",NA,"27.33788"
"194","Cxcl1","Control","0","none","2","27.69374",NA,"27.69374"
"195","Cxcl1","Control","0","none","3","27.35033",NA,"27.35033"
