"","Bio_Rep","Target_oligo","Treatment","Vector","Virus_amount","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","system"
"1","1","Myd88_1-2 (g14)","LPS","pLenti (Adil)","20","Il6","24.09006","24.08547","24.08777","5.608655e-08","20.01397"," 4.07380163","5.938319e-02","9.444854e-07","24.69949","3.670397e-08"," 4.10471386","5.812434e-02","20.59477","6.314734e-07","gRNA"
"2","1","Myd88_1-2 (g14)","None","pLenti (Adil)","20","Il6","34.77148","33.89541","34.33344","4.619590e-11","20.24902","14.08442518","5.756593e-05","8.024868e-07","33.64469","7.446274e-11","13.50589402","8.596482e-05","20.13880","8.662002e-07","gRNA"
"3","1","Myd88_1-3","LPS","pLenti (Adil)","20","Il6","24.27834","24.40580","24.34207","4.702272e-08","20.98115"," 3.36091447","9.733386e-02","4.831075e-07","24.89393","3.207596e-08"," 3.91542693","6.627337e-02","20.97851","4.839947e-07","gRNA"
"4","1","Myd88_1-3","None","pLenti (Adil)","20","Il6","32.80315","34.32119","33.56217","7.884615e-11","19.68946","13.87270876","6.666510e-05","1.182720e-06","33.39605","8.846840e-11","13.55584065","8.303962e-05","19.84021","1.065376e-06","gRNA"
"5","1","Myd88_g14","LPS","pLenti_CPPT (Kate)","10","Il6","19.72428","19.87684","19.80056","1.095058e-06","21.30981","-1.50925093","2.846622e+00","3.846868e-07","20.09735","8.914430e-07","-0.90942910","1.878302e+00","21.00678","4.746004e-07","gRNA"
"6","1","Myd88_g14","LPS","pLenti_CPPT (Kate)","20","Il6","19.36216","19.46485","19.41351","1.432030e-06","21.04350","-1.62999078","3.095110e+00","4.626751e-07","19.69218","1.180489e-06","-1.09080450","2.129928e+00","20.78299","5.542391e-07","gRNA"
"7","1","Myd88_g14","LPS","pLenti_CPPT (Kate)","30","Il6","19.61979","20.13545","19.87762","1.038101e-06","19.91904","-0.04142097","1.029127e+00","1.008720e-06","19.87762","1.038101e-06","-0.04142097","1.029127e+00","19.91904","1.008720e-06","gRNA"
"8","1","Myd88_g14","LPS","pLenti_CPPT (Kate)"," 5","Il6","20.21627","20.19069","20.20348","8.282224e-07","20.06166"," 0.14181868","9.063758e-01","9.137737e-07","20.14957","8.597563e-07"," 0.10195017","9.317726e-01","20.04762","9.227105e-07","gRNA"
"9","1","Myd88_g14","None","pLenti_CPPT (Kate)","10","Il6","33.13932","33.38263","33.26098","9.715106e-11","20.57175","12.68923043","1.514123e-04","6.416327e-07","33.71706","7.081945e-11","13.10810796","1.132573e-04","20.60896","6.252968e-07","gRNA"
"10","1","Myd88_g14","None","pLenti_CPPT (Kate)","20","Il6","31.45950","31.34119","31.40035","3.528203e-10","19.90991","11.49044012","3.475625e-04","1.015128e-06","32.77035","1.365028e-10","12.69717081","1.505812e-04","20.07318","9.065064e-07","gRNA"
"11","1","Myd88_g14","None","pLenti_CPPT (Kate)"," 5","Il6","32.76849","33.45289","33.11069","1.078175e-10","19.81352","13.29716580","9.934688e-05","1.085263e-06","33.23109","9.918491e-11","13.48352769","8.730794e-05","19.74756","1.136035e-06","gRNA"
"12","1","Scr_1-1 (g11)","LPS","pLenti (Adil)","20","Il6","19.40096","19.12487","19.26291","1.589589e-06","20.48026","-1.21734320","2.325181e+00","6.836411e-07","19.53765","1.313962e-06","-1.19803913","2.294276e+00","20.73568","5.727131e-07","gRNA"
"13","1","Scr_1-1 (g11)","None","pLenti (Adil)","20","Il6","33.59901","32.28291","32.94096","1.212785e-10","19.59233","13.34862355","9.586585e-05","1.265085e-06","33.45452","8.495466e-11","13.69162803","7.558042e-05","19.76289","1.124030e-06","gRNA"
"14","1","Scr_g11","LPS","pLenti_CPPT (Kate)","10","Il6","19.98590","20.03893","20.01242","9.455021e-07","20.23994","-0.22752426","1.170824e+00","8.075527e-07","19.69588","1.177471e-06","-0.52008925","1.434044e+00","20.21597","8.210841e-07","gRNA"
"15","1","Scr_g11","LPS","pLenti_CPPT (Kate)","20","Il6","19.30496","19.44331","19.37413","1.471651e-06","20.77659","-1.40246038","2.643520e+00","5.567013e-07","19.38664","1.458952e-06","-1.30625999","2.472996e+00","20.69290","5.899531e-07","gRNA"
"16","1","Scr_g11","LPS","pLenti_CPPT (Kate)","30","Il6","19.18649","19.21276","19.19963","1.660872e-06","20.85497","-1.65534493","3.149985e+00","5.272634e-07","19.19963","1.660872e-06","-1.65534493","3.149985e+00","20.85497","5.272634e-07","gRNA"
"17","1","Scr_g11","LPS","pLenti_CPPT (Kate)"," 5","Il6","20.02387","20.11380","20.06883","9.092406e-07","20.03378"," 0.03505227","9.759964e-01","9.316025e-07","20.30593","7.714474e-07"," 0.25225271","8.395844e-01","20.05368","9.188443e-07","gRNA"
"18","1","Scr_g11","None","pLenti_CPPT (Kate)","10","Il6","35.61936","36.21423","35.91679","1.541586e-11","20.09017","15.82662465","1.720724e-05","8.958938e-07","34.92852","3.058220e-11","14.77767039","3.560229e-05","20.15085","8.589953e-07","gRNA"
"19","1","Scr_g11","None","pLenti_CPPT (Kate)","20","Il6","32.67681","33.77975","33.22828","9.937812e-11","20.60393","12.62435066","1.583769e-04","6.274787e-07","33.75336","6.906016e-11","13.15447931","1.096749e-04","20.59888","6.296808e-07","gRNA"
"20","1","Scr_g11","None","pLenti_CPPT (Kate)"," 5","Il6","34.53056","33.40976","33.97016","5.942417e-11","20.10271","13.86744759","6.690866e-05","8.881388e-07","33.91134","6.189682e-11","13.90106077","6.536778e-05","20.01028","9.469010e-07","gRNA"
"21","1","Scr_g12","LPS","pLenti_CPPT (Kate)","10","Il6","18.85687","19.25692","19.05690","1.833591e-06","20.14202","-1.08512353","2.121557e+00","8.642667e-07","19.11769","1.757928e-06","-0.79801717","1.738710e+00","19.91571","1.011053e-06","gRNA"
"22","1","Scr_g12","LPS","pLenti_CPPT (Kate)","20","Il6","18.60201","19.05754","18.82977","2.146215e-06","20.76466","-1.93488375","3.823473e+00","5.613260e-07","19.13506","1.736892e-06","-1.63121438","3.097736e+00","20.76627","5.606972e-07","gRNA"
"23","1","Scr_g12","LPS","pLenti_CPPT (Kate)","30","Il6","19.12154","19.18224","19.15189","1.716745e-06","20.57093","-1.41903887","2.674073e+00","6.419965e-07","19.15189","1.716745e-06","-1.41903887","2.674073e+00","20.57093","6.419965e-07","gRNA"
"24","1","Scr_g12","LPS","pLenti_CPPT (Kate)"," 5","Il6","19.75251","19.68397","19.71824","1.159363e-06","20.30028","-0.58204829","1.496973e+00","7.744714e-07","19.96479","9.772338e-07","-0.34483403","1.270005e+00","20.30963","7.694725e-07","gRNA"
"25","1","Scr_g12","None","pLenti_CPPT (Kate)","10","Il6","34.68463","32.65110","33.66786","7.327622e-11","19.80935","13.85851742","6.732410e-05","1.088410e-06","33.46346","8.442948e-11","13.77258076","7.145623e-05","19.69088","1.181555e-06","gRNA"
"26","1","Scr_g12","None","pLenti_CPPT (Kate)","20","Il6","32.61121","34.07563","33.34342","9.175508e-11","20.05162","13.29180560","9.971668e-05","9.201578e-07","33.50172","8.222023e-11","13.51103730","8.565890e-05","19.99068","9.598562e-07","gRNA"
"27","1","Scr_g12","None","pLenti_CPPT (Kate)"," 5","Il6","33.50091","32.33562","32.91827","1.232011e-10","20.04157","12.87669743","1.329621e-04","9.265884e-07","33.25619","9.747407e-11","13.37296325","9.426206e-05","19.88323","1.034075e-06","gRNA"
"28","1","Untrans. (-puro)","LPS",""," 0","Il6","19.22734","19.01372","19.12053","1.754474e-06","21.02418","-1.90365270","3.741593e+00","4.689109e-07","19.12053","1.754474e-06","-1.90365270","3.741593e+00","21.02418","4.689109e-07","gRNA"
"29","1","Untrans. (-puro)","None",""," 0","Il6","31.75329","32.33451","32.04390","2.258528e-10","22.12802"," 9.91587531","1.035200e-03","2.181732e-07","32.04390","2.258528e-10"," 9.91587531","1.035200e-03","22.12802","2.181732e-07","gRNA"
"30","2","Myd88_1-2 (g14)","LPS","pLenti (Adil)","20","Il6","25.20977","25.41264","25.31121","2.401969e-08","21.17558"," 4.13562608","5.689217e-02","4.221967e-07","24.69949","3.670397e-08"," 4.10471386","5.812434e-02","20.59477","6.314734e-07","gRNA"
"31","2","Myd88_1-2 (g14)","None","pLenti (Adil)","20","Il6","33.42812","32.48375","32.95594","1.200258e-10","20.02857","12.92736285","1.283737e-04","9.349720e-07","33.64469","7.446274e-11","13.50589402","8.596482e-05","20.13880","8.662002e-07","gRNA"
"32","2","Myd88_1-3","LPS","pLenti (Adil)","20","Il6","25.82303","25.06857","25.44580","2.188021e-08","20.97586"," 4.46993940","4.512468e-02","4.848834e-07","24.89393","3.207596e-08"," 3.91542693","6.627337e-02","20.97851","4.839947e-07","gRNA"
"33","2","Myd88_1-3","None","pLenti (Adil)","20","Il6","33.20383","33.25602","33.22992","9.926493e-11","19.99095","13.23897253","1.034361e-04","9.596739e-07","33.39605","8.846840e-11","13.55584065","8.303962e-05","19.84021","1.065376e-06","gRNA"
"34","2","Myd88_g14","LPS","pLenti_CPPT (Kate)","10","Il6","20.31104","20.47725","20.39415","7.256883e-07","20.70375","-0.30960727","1.239370e+00","5.855299e-07","20.09735","8.914430e-07","-0.90942910","1.878302e+00","21.00678","4.746004e-07","gRNA"
"35","2","Myd88_g14","LPS","pLenti_CPPT (Kate)","20","Il6","20.02026","19.92147","19.97086","9.731323e-07","20.52248","-0.55161822","1.465729e+00","6.639238e-07","19.69218","1.180489e-06","-1.09080450","2.129928e+00","20.78299","5.542391e-07","gRNA"
"36","2","Myd88_g14","LPS","pLenti_CPPT (Kate)"," 5","Il6","20.16698","20.02434","20.09566","8.924909e-07","20.03358"," 0.06208166","9.578810e-01","9.317346e-07","20.14957","8.597563e-07"," 0.10195017","9.317726e-01","20.04762","9.227105e-07","gRNA"
"37","2","Myd88_g14","None","pLenti_CPPT (Kate)","10","Il6","34.11183","34.23447","34.17315","5.162470e-11","20.64616","13.52698549","8.471720e-05","6.093768e-07","33.71706","7.081945e-11","13.10810796","1.132573e-04","20.60896","6.252968e-07","gRNA"
"38","2","Myd88_g14","None","pLenti_CPPT (Kate)","20","Il6","33.90191","34.37880","34.14035","5.281165e-11","20.23645","13.90390149","6.523919e-05","8.095079e-07","32.77035","1.365028e-10","12.69717081","1.505812e-04","20.07318","9.065064e-07","gRNA"
"39","2","Myd88_g14","None","pLenti_CPPT (Kate)"," 5","Il6","33.35149",NA,"33.35149","9.124353e-11","19.68160","13.66988958","7.672788e-05","1.189183e-06","33.23109","9.918491e-11","13.48352769","8.730794e-05","19.74756","1.136035e-06","gRNA"
"40","2","Scr_1-1 (g11)","LPS","pLenti (Adil)","20","Il6","20.05913","19.56562","19.81238","1.086127e-06","20.99111","-1.17873506","2.263782e+00","4.797843e-07","19.53765","1.313962e-06","-1.19803913","2.294276e+00","20.73568","5.727131e-07","gRNA"
"41","2","Scr_1-1 (g11)","None","pLenti (Adil)","20","Il6","34.20788","33.72827","33.96807","5.951010e-11","19.93344","14.03463251","5.958743e-05","9.987023e-07","33.45452","8.495466e-11","13.69162803","7.558042e-05","19.76289","1.124030e-06","gRNA"
"42","2","Scr_g11","LPS","pLenti_CPPT (Kate)","10","Il6","19.37107","19.38761","19.37934","1.466350e-06","20.19199","-0.81265425","1.756440e+00","8.348423e-07","19.69588","1.177471e-06","-0.52008925","1.434044e+00","20.21597","8.210841e-07","gRNA"
"43","2","Scr_g11","LPS","pLenti_CPPT (Kate)","20","Il6","19.40939","19.38889","19.39914","1.446362e-06","20.60920","-1.21005959","2.313472e+00","6.251911e-07","19.38664","1.458952e-06","-1.30625999","2.472996e+00","20.69290","5.899531e-07","gRNA"
"44","2","Scr_g11","LPS","pLenti_CPPT (Kate)"," 5","Il6","20.81138","20.27467","20.54302","6.545364e-07","20.07357"," 0.46945314","7.222383e-01","9.062609e-07","20.30593","7.714474e-07"," 0.25225271","8.395844e-01","20.05368","9.188443e-07","gRNA"
"45","2","Scr_g11","None","pLenti_CPPT (Kate)","10","Il6","34.27578","33.60470","33.94024","6.066940e-11","20.21152","13.72871612","7.366219e-05","8.236166e-07","34.92852","3.058220e-11","14.77767039","3.560229e-05","20.15085","8.589953e-07","gRNA"
"46","2","Scr_g11","None","pLenti_CPPT (Kate)","20","Il6","33.99382","34.56304","34.27843","4.799151e-11","20.59382","13.68460795","7.594908e-05","6.318905e-07","33.75336","6.906016e-11","13.15447931","1.096749e-04","20.59888","6.296808e-07","gRNA"
"47","2","Scr_g11","None","pLenti_CPPT (Kate)"," 5","Il6","34.61119","33.09386","33.85253","6.447235e-11","19.91785","13.93467395","6.386239e-05","1.009551e-06","33.91134","6.189682e-11","13.90106077","6.536778e-05","20.01028","9.469010e-07","gRNA"
"48","2","Scr_g12","LPS","pLenti_CPPT (Kate)","10","Il6","19.15842","19.19856","19.17849","1.685388e-06","19.68940","-0.51091082","1.424950e+00","1.182770e-06","19.11769","1.757928e-06","-0.79801717","1.738710e+00","19.91571","1.011053e-06","gRNA"
"49","2","Scr_g12","LPS","pLenti_CPPT (Kate)","20","Il6","19.28110","19.59959","19.44035","1.405635e-06","20.76789","-1.32754502","2.509752e+00","5.600691e-07","19.13506","1.736892e-06","-1.63121438","3.097736e+00","20.76627","5.606972e-07","gRNA"
"50","2","Scr_g12","LPS","pLenti_CPPT (Kate)"," 5","Il6","20.23338","20.18932","20.21135","8.237161e-07","20.31897","-0.10761977","1.077449e+00","7.645058e-07","19.96479","9.772338e-07","-0.34483403","1.270005e+00","20.30963","7.694725e-07","gRNA"
"51","2","Scr_g12","None","pLenti_CPPT (Kate)","10","Il6","33.19275","33.32537","33.25906","9.728035e-11","19.57242","13.68664409","7.584197e-05","1.282672e-06","33.46346","8.442948e-11","13.77258076","7.145623e-05","19.69088","1.181555e-06","gRNA"
"52","2","Scr_g12","None","pLenti_CPPT (Kate)","20","Il6","33.91553","33.40449","33.66001","7.367620e-11","19.92974","13.73026899","7.358295e-05","1.001267e-06","33.50172","8.222023e-11","13.51103730","8.565890e-05","19.99068","9.598562e-07","gRNA"
"53","2","Scr_g12","None","pLenti_CPPT (Kate)"," 5","Il6","33.77466","33.41357","33.59412","7.711937e-11","19.72489","13.86922907","6.682609e-05","1.154031e-06","33.25619","9.747407e-11","13.37296325","9.426206e-05","19.88323","1.034075e-06","gRNA"
