"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh"
"1","1","Elp3_sg16","Elp3","sg16","Elp3","25.22196","25.16834","25.19515","2.603180e-08","17.68381"," 7.511340","0.0054810191","4.749445e-06","24.81353","0.38161522","3.391421e-08"," 7.323348","8.159182e-04","0.0062438528","17.49019","0.19362286","5.431617e-06"
"2","1","Elp3_sg17","Elp3","sg17","Elp3","26.06963","26.34948","26.20955","1.288659e-08","17.04557"," 9.163988","0.0017432708","7.392190e-06","25.88804","0.32151141","1.610358e-08"," 8.866025","4.457911e-04","0.0021431898","17.02202","0.02354851","7.513840e-06"
"3","1","Empty_sh11","Empty","sh11","Elp3","24.79164","24.43234","24.61199","3.899893e-08","16.96822"," 7.643770","0.0050002976","7.799322e-06","23.61277","0.99921594","7.795549e-08"," 7.490285","5.928025e-04","0.0055615964","16.12249","0.84573085","1.401675e-05"
"4","1","Scr_sh14","Scr","sh14","Elp3","24.26426","24.32285","24.29356","4.863075e-08","16.66578"," 7.627772","0.0050560558","9.618317e-06","23.52164","0.77191331","8.303860e-08"," 7.758553","4.191864e-04","0.0046178827","15.76309","0.90269417","1.798196e-05"
"5","1","Scr_sh15","Scr","sh15","Elp3","24.39956","24.51729","24.45843","4.337909e-08","16.97735"," 7.481072","0.0055972270","7.750103e-06","23.77943","0.67899285","6.945086e-08"," 7.675736","6.619121e-04","0.0048907264","16.10370","0.87365634","1.420052e-05"
"6","2","Elp3_sg16","Elp3","sg16","Elp3","24.43516","24.42868","24.43192","4.418343e-08","17.29656"," 7.135355","0.0071128556","6.211770e-06","24.81353","0.38161522","3.391421e-08"," 7.323348","8.159182e-04","0.0062438528","17.49019","0.19362286","5.431617e-06"
"7","2","Elp3_sg17","Elp3","sg17","Elp3","25.32211","25.81096","25.56653","2.012367e-08","16.99847"," 8.568062","0.0026348531","7.637491e-06","25.88804","0.32151141","1.610358e-08"," 8.866025","4.457911e-04","0.0021431898","17.02202","0.02354851","7.513840e-06"
"8","2","Elp3_sh20","Elp3","sh20","Elp3","24.29472","24.27071","24.28272","4.899750e-08","16.16365"," 8.119068","0.0035968068","1.362250e-05","24.28272",NA,"4.899750e-08"," 8.119068",NA,"0.0035968068","16.16365",NA,"1.362250e-05"
"9","2","Empty_sh11","Empty","sh11","Elp3","22.51566","22.71146","22.61356","1.558263e-07","15.27676"," 7.336800","0.0061859027","2.519055e-05","23.61277","0.99921594","7.795549e-08"," 7.490285","5.928025e-04","0.0055615964","16.12249","0.84573085","1.401675e-05"
"10","2","Scr_sh14","Scr","sh14","Elp3","22.71731","22.78215","22.74973","1.417911e-07","14.86040"," 7.889334","0.0042176830","3.361825e-05","23.52164","0.77191331","8.303860e-08"," 7.758553","4.191864e-04","0.0046178827","15.76309","0.90269417","1.798196e-05"
"11","2","Scr_sh15","Scr","sh15","Elp3","23.08755","23.11333","23.10044","1.111923e-07","15.23004"," 7.870399","0.0042734027","2.601962e-05","23.77943","0.67899285","6.945086e-08"," 7.675736","6.619121e-04","0.0048907264","16.10370","0.87365634","1.420052e-05"
"12","1","Empty_sh11","Empty","sh11","Myd88","22.22037","22.19079","22.20558","2.067542e-07","16.96822"," 5.237360","0.0265092513","7.799322e-06","22.20558",NA,"2.067542e-07"," 5.237360",NA,"0.0265092513","16.96822",NA,"7.799322e-06"
"13","1","Myd88_sh21","Myd88","sh21","Myd88","25.09074","24.93141","25.01108","2.957436e-08","19.33520"," 5.675881","0.0195609279","1.511910e-06","24.93043","0.08064999","3.127472e-08"," 5.527954","2.226154e-03","0.0216730520","19.40247","0.06727753","1.443023e-06"
"14","1","Scr_sh14","Scr","sh14","Myd88","22.06789","22.00800","22.03794","2.322298e-07","16.66578"," 5.372160","0.0241445340","9.618317e-06","22.03794",NA,"2.322298e-07"," 5.372160",NA,"0.0241445340","16.66578",NA,"9.618317e-06"
"15","1","Scr_sh15","Scr","sh15","Myd88","22.33425","22.31755","22.32590","1.902104e-07","16.97735"," 5.348547","0.0245429565","7.750103e-06","22.32590",NA,"1.902104e-07"," 5.348547",NA,"0.0245429565","16.97735",NA,"7.750103e-06"
"16","2","Myd88_sh21","Myd88","sh21","Myd88","24.94002","24.75954","24.84978","3.307284e-08","19.46975"," 5.380026","0.0240132363","1.377275e-06","24.93043","0.08064999","3.127472e-08"," 5.527954","2.226154e-03","0.0216730520","19.40247","0.06727753","1.443023e-06"
"17","1","Empty_sh11","Empty","sh11","Trmt6","24.24743","24.37722","24.31233","4.800215e-08","16.96822"," 7.344106","0.0061546569","7.799322e-06","24.31233",NA,"4.800215e-08"," 7.344106",NA,"0.0061546569","16.96822",NA,"7.799322e-06"
"18","1","Scr_sh14","Scr","sh14","Trmt6","23.94230","24.13507","24.03869","5.802759e-08","16.66578"," 7.372902","0.0060330291","9.618317e-06","24.03869",NA,"5.802759e-08"," 7.372902",NA,"0.0060330291","16.66578",NA,"9.618317e-06"
"19","1","Scr_sh15","Scr","sh15","Trmt6","24.13425","24.59403","24.36414","4.630882e-08","16.97735"," 7.386785","0.0059752518","7.750103e-06","24.36414",NA,"4.630882e-08"," 7.386785",NA,"0.0059752518","16.97735",NA,"7.750103e-06"
"20","1","Trmt6_sg18","Trmt6","sg18","Trmt6","24.64772","24.81542","24.73157","3.589675e-08","17.24329"," 7.488277","0.0055693431","6.445419e-06","24.59970","0.13187260","3.933261e-08"," 7.489186","3.506041e-06","0.0055658359","17.11051","0.13278138","7.066793e-06"
"21","1","Trmt6_sg19","Trmt6","sg19","Trmt6","25.81485","26.09787","25.95636","1.535879e-08","17.11274"," 8.843619","0.0021767344","7.055884e-06","25.68418","0.27218461","1.854781e-08"," 8.636266","3.624549e-04","0.0025131870","17.04791","0.06483197","7.380194e-06"
"22","1","Trmt6_sh25","Trmt6","sh25","Trmt6","25.03850","25.36639","25.20245","2.590046e-08","16.88843"," 8.314018","0.0031421820","8.242825e-06","25.02883","0.17361934","2.921272e-08"," 8.255570","1.325975e-04","0.0032720939","16.77326","0.11517192","8.927838e-06"
"23","2","Trmt6_sg18","Trmt6","sg18","Trmt6","24.51701","24.41865","24.46783","4.309733e-08","16.97773"," 7.490095","0.0055623310","7.748070e-06","24.59970","0.13187260","3.933261e-08"," 7.489186","3.506041e-06","0.0055658359","17.11051","0.13278138","7.066793e-06"
"24","2","Trmt6_sg19","Trmt6","sg19","Trmt6","25.34712","25.47686","25.41199","2.239898e-08","16.98308"," 8.428914","0.0029016443","7.719411e-06","25.68418","0.27218461","1.854781e-08"," 8.636266","3.624549e-04","0.0025131870","17.04791","0.06483197","7.380194e-06"
"25","2","Trmt6_sh25","Trmt6","sh25","Trmt6","24.82913","24.88128","24.85521","3.294858e-08","16.65809"," 8.197123","0.0034073770","9.669778e-06","25.02883","0.17361934","2.921272e-08"," 8.255570","1.325975e-04","0.0032720939","16.77326","0.11517192","8.927838e-06"
"26","1","Empty_sh11","Empty","sh11","Trmt61a","26.57917","26.50452","26.54184","1.023549e-08","16.96822"," 9.573624","0.0013123566","7.799322e-06","26.54184",NA,"1.023549e-08"," 9.573624",NA,"0.0013123566","16.96822",NA,"7.799322e-06"
"27","1","Scr_sh14","Scr","sh14","Trmt61a","26.43765","26.49024","26.46394","1.080337e-08","16.66578"," 9.798160","0.0011232076","9.618317e-06","26.46394",NA,"1.080337e-08"," 9.798160",NA,"0.0011232076","16.66578",NA,"9.618317e-06"
"28","1","Scr_sh15","Scr","sh15","Trmt61a","26.56225","26.43902","26.50063","1.053209e-08","16.97735"," 9.523279","0.0013589617","7.750103e-06","26.50063",NA,"1.053209e-08"," 9.523279",NA,"0.0013589617","16.97735",NA,"7.750103e-06"
"29","1","Trmt61a_sg20","Trmt61a","sg20","Trmt61a","25.89620","26.08609","25.99114","1.499290e-08","17.10299"," 8.888152","0.0021105696","7.103724e-06","25.91250","0.07864477","1.583289e-08"," 8.845201","6.474240e-05","0.0021743483","17.06730","0.03569409","7.281672e-06"
"30","1","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","27.88204","27.82600","27.85402","4.121954e-09","16.87088","10.983144","0.0004940196","8.343706e-06","27.80879","0.04523887","4.253255e-09","11.094404","3.530573e-05","0.0004573532","16.71438","0.15649851","9.299717e-06"
"31","2","Trmt61a_sg20","Trmt61a","sg20","Trmt61a","25.84472","25.82300","25.83386","1.671994e-08","17.03160"," 8.802251","0.0022400544","7.464076e-06","25.91250","0.07864477","1.583289e-08"," 8.845201","6.474240e-05","0.0021743483","17.06730","0.03569409","7.281672e-06"
"32","2","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","27.60175","27.92535","27.76355","4.388738e-09","16.55788","11.205663","0.0004234081","1.036527e-05","27.80879","0.04523887","4.253255e-09","11.094404","3.530573e-05","0.0004573532","16.71438","0.15649851","9.299717e-06"
